emp_no,first_name,last_name,title,birth_date
10001,Georgi,Facello,Senior Engineer,1953-09-02
10004,Chirstian,Koblick,Senior Engineer,1954-05-01
10005,Kyoichi,Maliniak,Senior Staff,1955-01-21
10006,Anneke,Preusig,Senior Engineer,1953-04-20
10009,Sumant,Peac,Senior Engineer,1952-04-19
10011,Mary,Sluis,Staff,1953-11-07
10018,Kazuhide,Peha,Senior Engineer,1954-06-19
10019,Lillian,Haddadi,Staff,1953-01-23
10020,Mayuko,Warwick,Engineer,1952-12-24
10022,Shahaf,Famili,Engineer,1952-07-08
10023,Bojan,Montemayor,Engineer,1953-09-29
10026,Yongqiao,Berztiss,Senior Engineer,1953-04-03
10035,Alain,Chappelet,Senior Engineer,1953-02-08
10047,Zvonko,Nyanchama,Senior Engineer,1952-06-29
10051,Hidefumi,Caine,Senior Engineer,1953-07-28
10053,Sanjiv,Zschoche,Senior Staff,1954-09-13
10057,Ebbe,Callaway,Senior Engineer,1954-05-30
10058,Berhard,McFarlin,Senior Staff,1954-10-01
10059,Alejandro,McAlpine,Senior Staff,1953-09-19
10063,Gino,Leonhardt,Senior Engineer,1952-08-06
10066,Kwee,Schusler,Senior Engineer,1952-11-13
10067,Claudi,Stavenow,Senior Engineer,1953-01-07
10070,Reuven,Garigliano,Technique Leader,1955-08-20
10072,Hironoby,Sidou,Senior Engineer,1952-05-15
10073,Shir,McClurg,Engineer,1954-02-23
10074,Mokhtar,Bernatsky,Technique Leader,1955-08-28
10076,Erez,Ritzmann,Senior Engineer,1952-06-13
10088,Jungsoon,Syrzycki,Senior Staff,1954-02-25
10091,Amabile,Gomatam,Senior Engineer,1955-10-04
10096,Jayson,Mandell,Engineer,1954-09-16
10097,Remzi,Waschkowski,Senior Staff,1952-02-27
10100,Hironobu,Haraldson,Senior Staff,1953-04-21
10101,Perla,Heyers,Staff,1952-04-15
10103,Akemi,Birch,Engineer,1953-11-26
10106,Eben,Aingworth,Senior Engineer,1952-08-29
10108,Lunjin,Giveon,Staff,1952-04-07
10116,Dayanand,Czap,Senior Engineer,1955-08-26
10126,Kayoko,Valtorta,Senior Staff,1954-08-07
10127,Subir,Baja,Senior Engineer,1952-02-24
10129,Armond,Peir,Technique Leader,1955-12-02
10130,Nishit,Casperson,Senior Engineer,1955-04-27
10131,Magdalena,Eldridge,Engineer,1952-02-19
10134,Diederik,Siprelle,Senior Engineer,1953-04-15
10138,Perry,Shimshoni,Senior Engineer,1955-04-24
10149,Xiadong,Perry,Staff,1953-05-20
10150,Zhenbing,Perng,Senior Engineer,1955-01-29
